City/Town,# Total households,% Households w/ cohabiting couples,% Households w/ 1+ people aged >=65,AVG Household size,AVG Family size,# Total population >=25,% Educated <9th grade,% Educated 9th-12th w/o diploma,% Educated w/ highschool diploma or equivalent,% Educated w/ some college,% Educated w/ associate's degree,% Educated w/ bachelor's degree,% Educated w/ grad/professional degree,% Educated w/ diploma or higher,% Educated w/ bachelors or higher,# Total civilian population,% Population w/ disablilty,% Population <18 w/ disability,% Population 18-64 w/ disability,% Population >65 w/ disability,# Population foreign-born,% Foreign-born not citizen,% Foreign-born entered >=2010,% Foreign-born entered <2010,# Total population >=5,% Population speaks english poorly,% Households w/ a computer,% Households w/ internet,# Total civilian labor force,% Workers worked from home,% Workers unpaid familly,% Population no health insurance,% Population in poverty,# Total occupied housing units,% Households no vehicle,% Households incomplete plumbing,% Households incomplete kitchen,% Households no telephone,% Households w/ 1.51 or more occupants/room,% Population <18,% Population >=18,% Population >=21,% Population >=65,% Population white,County subdivision,% Population minority,Latitude,Longitude,County,# Total population,# Total cases,# Total cases last 2 weeks,Avg # of cases last 2 weeks (per 100k),# Total tests,# Total tests last 2 weeks,# Total positive tests,% Positive tests last 2 weeks,% Infection rate,% Positive tests,% Infection rate last 2 weeks,% Testing rate last 2 weeks,% Testing rate,# Total positive tests last 2 weeks,% Population one or more doses,% Population fully vaccinated,% Vaccinated 65+ fully vaccinated,% Vaccinated 65+ one or more doses,% Vaccinated <65 fully vaccinated,% Vaccinated <65 one or more doses,% Vaccinated minority fully vaccinated,% Vaccinated minority one or more doses,% Vaccinated white fully vaccinated,% Vaccinated white one or more doses
Webster,6946,6.6,29.8,2.4,2.87,12166,3.4,8.2,34.5,18.5,10.4,17.9,7.1,88.4,25.0,16630,16.0,4.5,14.8,34.4,1418,48.1,10.9,89.1,15999,5.8,89.5,81.0,9075,4.6,0.1,2.5,9.6,6946,10.4,0.1,0.9,1.6,1.0,20.3,79.7,76.6,18.0,84.0,73895,16.0,42.050091,-71.8800628,Worcester,17180,1849,49,20.371458228978216,41858,1795.0,56.0,0.03119777158774373,10.762514551804424,0.0013378565626642458,0.2852153667054715,10.448195576251456,243.64377182770664,56.0,41.45077720207254,28.753565814752285,65.20912547528516,75.22179974651458,20.54774980386563,33.84922616075886,52.190190939722946,74.4664919505803,21.83127572016461,31.790123456790127
Wellesley,8449,1.0,33.5,2.85,3.25,15964,0.9,1.2,5.2,5.9,3.0,33.9,49.9,97.9,83.8,28559,6.1,2.2,3.8,22.6,4854,45.1,28.3,71.7,27314,3.7,95.8,92.5,13269,12.2,0.5,1.1,4.4,8449,4.8,0.5,1.0,0.6,0.2,25.0,75.0,62.2,14.8,80.3,74175,19.700000000000003,42.296797,-71.29238769999998,Norfolk,29713,1345,28,6.7310486991798815,203174,11509.0,32.0,0.0027804327048396907,4.526638171843974,0.00015750046757951312,0.0942348467000976,38.733887523979405,683.788240837344,32.0,60.43083136990912,40.19185459441266,80.94637223974763,89.04311251314407,32.42636746143058,54.97896213183731,26.720088422216083,48.03813208068527,42.36151473152412,60.52219788080655
Wellfleet,1598,5.8,52.2,2.25,2.56,2750,1.3,4.0,19.2,16.4,5.5,29.8,23.7,94.7,53.6,3617,9.7,2.7,6.7,17.5,238,26.5,5.9,94.1,3529,0.7,88.7,85.7,1779,12.5,0.0,4.5,9.8,1598,2.5,0.6,0.0,0.0,0.8,13.1,86.9,84.6,32.6,90.4,74385,9.599999999999994,41.9305468,-70.03097530000001,Barnstable,2759,76,4,10.352588541969554,3457,146.0,4.0,0.0273972602739726,2.7546212395795577,0.0011570726063060456,0.14498006524102935,5.291772381297571,125.29902138455962,4.0,82.77112803772216,61.47986942328618,93.37175792507205,100.0,42.13286713286713,70.86247086247086,0.0,62.83185840707964,60.56124383769435,79.14296549108836
Wendell,383,8.6,38.4,2.23,2.8,688,0.9,3.8,23.3,15.0,9.9,27.6,19.6,95.3,47.2,862,12.8,3.4,14.8,14.3,22,45.5,31.8,68.2,831,0.7,85.6,67.4,432,12.5,0.0,1.6,11.7,383,2.1,1.3,2.3,3.4,0.5,16.8,83.2,81.0,22.7,89.0,74525,11.0,42.5481852,-72.396722,Franklin,709,11,0,0.0,1641,74.0,0.0,0.0,1.5514809590973202,0.0,0.0,10.437235543018335,231.4527503526093,0.0,65.48797736916548,45.82743988684583,95.53072625698324,100.0,28.97727272727273,47.91666666666667,0.0,0.0,45.954198473282446,65.19083969465649
Wenham,1418,2.8,37.3,2.6,3.04,2703,0.9,0.4,13.1,12.0,6.0,41.9,25.7,98.7,67.6,5240,7.1,1.9,3.5,28.5,357,51.3,30.8,69.2,4998,2.2,93.4,87.9,2710,15.1,0.0,3.4,2.1,1418,4.2,0.0,0.0,0.0,0.3,15.7,84.3,61.5,15.5,92.4,74595,7.599999999999994,42.604261,-70.89116120000001,Essex,5203,293,6,8.236810190241442,15784,1220.0,7.0,0.005737704918032787,5.63136651931578,0.00044348707551951344,0.11531808571977706,23.448010763021333,303.3634441668268,7.0,48.13461538461539,34.21153846153846,72.76119402985076,76.99004975124379,27.16105550500455,42.857142857142854,46.05263157894737,76.97368421052632,32.565070534472476,44.96324259884761
West Boylston,2336,7.0,40.2,2.42,3.02,6279,2.9,9.1,29.3,15.3,10.2,20.1,13.2,88.0,33.2,5670,10.5,2.9,6.5,26.2,512,45.7,14.8,85.2,7676,5.5,89.0,84.4,3165,4.8,0.0,2.4,9.5,2336,5.7,1.7,0.6,1.7,0.6,13.8,86.2,83.1,19.1,88.7,75155,11.299999999999997,42.3667589,-71.785627,Worcester,7840,632,8,7.288035738123787,16144,658.0,12.0,0.0182370820668693,8.061224489795919,0.0007433102081268583,0.10204081632653061,8.392857142857142,205.9183673469388,12.0,57.476397040061244,41.86016841030875,68.51654215581644,79.88260405549626,33.48423876592891,50.435949027498324,24.823695345557123,45.55712270803949,38.83001271725307,53.04507559700438
West Bridgewater,2499,6.6,34.6,2.82,3.42,5087,1.0,2.8,31.2,18.4,11.2,23.4,12.1,96.2,35.4,7056,9.9,1.7,7.7,27.8,174,8.6,0.0,100.0,6808,0.1,95.3,88.8,3832,2.2,0.0,1.1,4.6,2499,4.4,0.2,0.0,0.2,0.0,21.0,79.0,75.3,18.7,95.9,75260,4.099999999999994,42.0189894,-71.00782149999998,Plymouth,7285,847,16,15.686042488146303,18653,946.0,19.0,0.0200845665961945,11.626630061770763,0.0010186029056988152,0.2196293754289636,12.985586822237474,256.04667124227865,19.0,51.3595166163142,36.432298819005766,68.27814569536423,80.19867549668874,28.101178101178103,43.814968814968815,49.65034965034965,71.7948717948718,33.01056338028169,45.52523474178404
West Brookfield,1510,8.1,33.3,2.35,3.06,2764,2.9,5.0,36.9,16.5,9.5,22.5,6.6,92.1,29.1,3583,16.3,4.6,14.3,33.7,25,32.0,0.0,100.0,3614,0.2,89.5,81.7,1928,3.7,2.2,4.7,4.2,1510,7.4,2.8,2.8,1.7,1.1,18.2,81.8,80.1,22.9,95.4,75400,4.599999999999994,42.2353463,-72.1411642,Worcester,3703,275,14,26.998736530223276,8442,368.0,15.0,0.04076086956521739,7.426411018093438,0.0017768301350390902,0.3780718336483932,9.937888198757763,227.97731568998108,15.0,57.84922993785463,41.20507970818698,81.04212860310422,97.33924611973393,28.367274026438018,45.12325830653805,100.0,100.0,31.636670416197976,44.12260967379078
West Newbury,1678,6.7,38.6,2.75,2.99,3304,0.6,1.7,14.6,11.4,9.3,36.5,25.8,97.7,62.3,4631,9.6,3.6,6.4,24.3,164,31.7,11.0,89.0,4473,1.6,97.7,94.9,2568,8.0,0.4,1.2,4.4,1678,3.0,0.0,0.0,2.4,0.0,20.8,79.2,75.3,21.1,98.8,77150,1.2000000000000028,42.8014795,-70.989778,Essex,4036,189,6,10.617706392114428,7825,334.0,8.0,0.023952095808383235,4.682854311199207,0.0010223642172523962,0.14866204162537167,8.27552031714569,193.8800792864222,8.0,71.78978681209718,55.10659395141298,100.0,100.0,43.45952600800246,61.24961526623577,0.0,48.29931972789115,52.90622578145182,67.96693360888659
West Springfield,12605,7.8,27.9,2.26,3.11,20231,3.6,6.8,25.8,19.8,10.3,19.2,14.5,89.6,33.7,28496,14.0,2.6,11.8,37.9,3776,31.9,20.5,79.5,27134,7.2,86.7,81.7,15551,3.7,0.0,4.3,11.3,12605,10.8,0.0,1.2,1.8,0.9,20.4,79.6,75.7,15.9,87.1,77890,12.900000000000006,42.1070383,-72.6203675,Hampden,29347,2863,75,18.253944626842614,58444,2718.0,91.0,0.03348050036791759,9.755682011789961,0.001557046061186777,0.25556274917368044,9.26159403005418,199.14812416942107,91.0,43.225652559122196,28.49792135214339,62.92221578845783,77.61049990349353,21.11731843575419,35.85350713842334,15.33991079875659,27.976753615353427,28.417233560090704,41.61451247165533
