City/Town,# Total households,% Households w/ cohabiting couples,% Households w/ 1+ people aged >=65,AVG Household size,AVG Family size,# Total population >=25,% Educated <9th grade,% Educated 9th-12th w/o diploma,% Educated w/ highschool diploma or equivalent,% Educated w/ some college,% Educated w/ associate's degree,% Educated w/ bachelor's degree,% Educated w/ grad/professional degree,% Educated w/ diploma or higher,% Educated w/ bachelors or higher,# Total civilian population,% Population w/ disablilty,% Population <18 w/ disability,% Population 18-64 w/ disability,% Population >65 w/ disability,# Population foreign-born,% Foreign-born not citizen,% Foreign-born entered >=2010,% Foreign-born entered <2010,# Total population >=5,% Population speaks english poorly,% Households w/ a computer,% Households w/ internet,# Total civilian labor force,% Workers worked from home,% Workers unpaid familly,% Population no health insurance,% Population in poverty,# Total occupied housing units,% Households no vehicle,% Households incomplete plumbing,% Households incomplete kitchen,% Households no telephone,% Households w/ 1.51 or more occupants/room,% Population <18,% Population >=18,% Population >=21,% Population >=65,% Population white,County subdivision,% Population minority,Latitude,Longitude,County,# Total population,# Total cases,# Total cases last 2 weeks,Avg # of cases last 2 weeks (per 100k),# Total tests,# Total tests last 2 weeks,# Total positive tests,% Positive tests last 2 weeks,% Infection rate,% Positive tests,% Infection rate last 2 weeks,% Testing rate last 2 weeks,% Testing rate,# Total positive tests last 2 weeks,% Population one or more doses,% Population fully vaccinated,% Vaccinated 65+ fully vaccinated,% Vaccinated 65+ one or more doses,% Vaccinated <65 fully vaccinated,% Vaccinated <65 one or more doses,% Vaccinated minority fully vaccinated,% Vaccinated minority one or more doses,% Vaccinated white fully vaccinated,% Vaccinated white one or more doses
Abington,6396,5.3,26.4,2.55,3.03,11793,2.2,3.2,27.6,17.8,10.2,27.0,12.1,94.7,39.1,16322,12.7,3.3,10.6,34.5,1429,45.6,27.6,72.4,15608,4.4,95.9,92.0,10012,2.5,0.4,1.9,4.1,6396,3.5,0.0,0.2,0.9,0.0,19.3,80.7,77.0,14.9,90.4,170,9.599999999999994,42.1048228,-70.9453218,Plymouth,18224,1685,40,15.677708178415665,31011,1384.0,45.0,0.03251445086705202,9.24604916593503,0.0014510979974847636,0.21949078138718175,7.594381035996488,170.1657155399473,45.0,49.791460871474044,35.35835802875645,75.70381797146163,87.11916698804474,28.66466184656728,43.598438799667285,39.225806451612904,63.61290322580645,32.65895953757225,44.815751445086704
Acton,8795,3.8,27.1,2.67,3.19,16321,2.2,1.2,7.9,8.3,5.5,31.3,43.6,96.5,74.9,23464,7.6,2.0,5.9,23.9,6332,45.6,21.1,78.9,22548,8.4,94.6,92.5,12762,8.0,0.1,0.8,3.3,8795,4.3,0.2,0.8,0.7,0.4,24.6,75.4,72.2,15.4,68.9,380,31.099999999999994,42.48509310000001,-71.43284,Middlesex,23727,934,22,6.622737336036187,45310,2164.0,24.0,0.011090573012939002,3.936443713912421,0.00052968439638049,0.09272137227630968,9.12041134572428,190.96388081089054,24.0,65.82507903055848,42.26343519494205,86.73523206751055,95.64873417721519,33.80324085687052,60.15150755029348,27.877896285399046,56.36876302562217,47.458287346620786,66.81815230799195
Acushnet,4094,11.0,35.2,2.57,2.92,8009,8.5,6.6,37.3,15.7,9.7,17.4,4.9,84.9,22.2,10529,12.6,6.8,9.9,25.8,1157,23.3,14.1,85.9,9956,5.2,87.6,79.8,5982,3.3,2.1,1.1,4.3,4094,3.6,0.0,0.0,1.2,0.5,16.2,83.8,81.0,20.1,91.8,520,8.200000000000003,41.7223696,-70.8952337,Bristol,10449,1308,35,23.925089810630375,22041,849.0,38.0,0.0447585394581861,12.517944300890038,0.00172405970690985,0.3349602832806967,8.1251794430089,210.93884582256678,38.0,48.35343672219031,36.54987555044993,74.2564602632862,85.6655290102389,27.33770101250744,39.23764145324598,24.22145328719723,58.82352941176471,33.583415597235934,43.800592300098714
Adams,3749,6.4,31.5,2.16,2.83,6202,2.9,8.3,38.5,16.3,9.2,16.3,8.4,88.8,24.8,8125,14.6,5.2,10.9,35.4,256,38.7,32.4,67.6,7704,1.9,87.9,81.0,4438,2.0,0.2,1.6,11.2,3749,10.3,0.0,0.1,0.7,0.2,17.2,82.8,80.6,19.1,96.2,555,3.799999999999997,42.6242251,-73.11743440000002,Berkshire,8227,333,14,12.154456097195293,14748,828.0,15.0,0.018115942028985508,4.047647988331105,0.0010170870626525631,0.17017138689680322,10.064422025039505,179.2634009967181,15.0,51.8239299610895,37.57295719844358,76.1744966442953,88.36689038031321,26.848974518334366,41.67184586699813,10.062893081761008,44.0251572327044,36.822050044455736,49.99364918074431
Agawam,11829,6.9,35.5,2.38,3.03,21598,1.5,5.2,30.4,19.4,10.3,20.4,12.8,93.3,33.2,28153,12.5,7.3,8.4,29.5,2305,20.4,7.7,92.3,27212,3.8,89.7,83.9,15609,4.5,0.1,3.2,7.9,11829,8.0,0.2,1.8,2.0,0.1,18.9,81.1,78.7,21.4,93.4,840,6.599999999999994,42.0695391,-72.6148117,Hampden,28496,2600,65,16.292919444441875,64603,2841.0,73.0,0.025695177754311863,9.124087591240876,0.0011299784839713326,0.22810218978102187,9.969820325659743,226.70901179112857,73.0,48.50665075632612,33.667918436107115,62.962399147511036,75.78017963160299,24.890530925013685,40.33479292099982,22.768742562475207,38.23879412931376,31.524898275527995,44.84014725828328
Alford,198,3.0,59.1,2.18,2.54,358,1.4,2.8,19.0,21.8,2.8,21.5,30.7,95.8,52.2,431,16.7,0.0,9.4,28.4,26,34.6,0.0,100.0,400,3.5,93.9,89.4,199,9.5,0.0,2.6,5.8,198,1.0,0.0,0.0,1.0,0.0,14.8,85.2,85.2,45.7,96.1,975,3.9000000000000057,42.2356442,-73.41344559999997,Berkshire,462,4,0,0.0,234,6.0,0.0,0.0,0.8658008658008658,0.0,0.0,1.2987012987012987,50.649350649350644,0.0,,,,,,,,,,
Amesbury,7215,6.0,27.8,2.37,2.98,12633,1.1,4.7,26.0,17.3,9.8,25.6,15.5,94.2,41.1,17204,13.4,7.4,10.5,32.8,752,30.3,17.4,82.6,16675,1.0,92.8,87.8,10231,7.7,0.2,1.5,6.3,7215,6.8,0.7,1.2,1.3,0.1,19.7,80.3,76.7,16.8,96.1,1260,3.9000000000000057,42.8583925,-70.93003759999998,Essex,16598,1075,24,10.32825037035823,31319,1181.0,26.0,0.02201524132091448,6.476683937823833,0.0008301669912832466,0.14459573442583443,7.1153150982046025,188.6914086034462,26.0,58.97312281547548,43.50970230203688,84.3963963963964,95.78378378378378,35.29922570374123,51.58115637889862,30.985915492957744,48.655569782330346,41.29772929087911,55.404033997209176
Amherst,9162,6.8,28.2,2.54,2.96,12963,2.5,2.2,13.5,11.0,5.1,23.5,42.1,95.3,65.7,39701,7.0,4.6,5.3,24.9,7032,64.2,46.1,53.9,39018,5.6,96.6,91.2,20304,9.1,0.1,3.1,27.5,9162,10.3,0.1,0.2,0.9,1.1,9.2,90.8,54.1,9.1,74.1,1325,25.900000000000006,42.3732216,-72.5198537,Hampshire,40259,2695,54,9.580764660792399,448692,36470.0,60.0,0.0016451878256100905,6.69415534414665,0.0001337220186675938,0.13413149854690878,90.58843985195857,1114.5135249261034,60.0,39.31308749096168,22.663292359604725,85.60338743824983,97.34180192895789,15.478396304949113,32.68884771341873,11.465209803475226,29.31937172774869,24.978991596638657,37.4124649859944
Andover,12801,3.1,27.5,2.67,3.15,24143,1.4,1.4,8.8,8.5,5.4,34.9,39.6,97.2,74.5,35548,6.6,2.8,4.0,24.4,6247,37.6,14.9,85.1,34099,5.3,96.9,95.0,19283,8.6,0.1,1.3,4.1,12801,3.1,0.1,0.8,0.6,0.0,24.2,75.8,71.6,14.8,79.9,1465,20.099999999999994,42.6583356,-71.1367953,Essex,36064,2762,73,14.458403164308832,99969,3778.0,91.0,0.024086818422445738,7.658606921029282,0.0009102821874781182,0.2024179236912156,10.475820763087844,277.1988686779059,91.0,60.69269591259497,43.36143308746048,81.23550844650546,87.76084796290162,35.74473754329869,55.24913402611244,29.38240074297655,49.58207569073601,43.49715203738864,58.15320578355484
Aquinnah,176,10.2,38.1,3.02,3.59,351,1.7,0.6,21.4,19.7,6.8,31.9,17.9,97.7,49.9,531,5.8,0.0,9.2,5.8,7,28.6,0.0,100.0,489,0.0,93.2,91.5,280,17.7,0.7,4.0,6.6,176,0.0,0.0,0.0,4.0,0.0,29.6,70.4,68.9,19.4,66.9,1585,33.099999999999994,41.3352369,-70.8007864,Dukes,260,4,0,0.0,587,12.0,0.0,0.0,1.5384615384615385,0.0,0.0,4.615384615384616,225.76923076923077,0.0,,,,,,,,,,
Arlington,19065,5.3,29.6,2.36,3.0,33360,1.8,1.6,12.3,9.5,4.0,29.9,41.0,96.6,70.9,45065,8.9,1.9,5.2,32.2,8874,52.0,27.8,72.2,42236,5.7,93.0,90.6,26255,7.1,0.0,1.3,5.2,19065,11.5,0.1,0.4,1.1,0.2,21.3,78.7,76.6,16.7,79.7,1605,20.299999999999997,42.4153925,-71.15647290000003,Middlesex,45827,1846,18,2.8055737231856055,121583,5546.0,22.0,0.003966822935448972,4.028192986667248,0.00018094634940740072,0.03927815479957231,12.102035917690444,265.3086608331333,22.0,66.29059008379889,45.93662709497207,79.74698795180723,87.16867469879517,38.458053512418715,61.67252958106811,30.334288443170966,50.238777459407835,46.82624612785131,64.99295972965362
Ashburnham,2031,4.9,26.3,2.98,3.23,4239,0.8,1.8,24.4,21.4,11.9,27.2,12.6,97.4,39.8,6281,7.4,1.1,7.7,17.2,121,33.9,19.0,81.0,5791,0.9,96.9,93.6,3647,8.1,1.4,0.0,1.8,2031,1.1,0.0,0.0,1.1,0.0,24.5,75.5,70.2,13.2,97.4,1885,2.5999999999999943,42.635545,-71.9097394,Worcester,6286,401,8,9.089747151943877,14533,923.0,13.0,0.014084507042253521,6.379255488386891,0.0008945159292644327,0.12726694241170855,14.683423480750877,231.19630925867006,13.0,48.750596848639184,35.03103612923763,86.78038379530916,99.36034115138592,25.949485500467727,39.869036482694106,10.909090909090908,28.18181818181818,33.74346873419855,46.21607955503118
Ashby,1167,12.3,32.4,2.76,3.05,2380,1.9,5.0,32.6,15.6,11.6,21.6,11.6,93.1,33.2,3214,9.8,1.0,9.7,21.2,133,28.6,0.0,100.0,3100,0.3,95.4,89.7,1861,6.5,0.0,1.4,4.7,1167,0.0,0.4,0.0,0.9,0.0,19.4,80.6,77.5,15.7,97.3,1955,2.700000000000003,42.67727670000001,-71.8187139,Middlesex,3488,162,4,2.047822351604302,4378,208.0,1.0,0.004807692307692308,4.644495412844036,0.00022841480127912289,0.11467889908256881,5.963302752293578,125.51605504587155,1.0,43.77510040160642,30.263912794033278,71.75843694493783,81.88277087033747,22.27163872733493,36.43516934656175,0.0,36.08247422680412,28.973068955312222,40.72210713228766
Ashfield,660,13.6,38.5,2.19,2.55,1177,0.4,2.7,24.8,12.9,10.2,25.8,23.1,96.9,48.9,1449,12.7,12.0,9.3,21.5,48,58.3,16.7,83.3,1417,0.0,90.9,80.5,904,10.4,2.2,2.0,9.0,660,3.8,0.0,0.5,0.6,0.6,11.5,88.5,84.9,25.0,95.5,2095,4.5,42.5264745,-72.788426,Franklin,1695,29,0,0.0,2664,123.0,0.0,0.0,1.710914454277286,0.0,0.0,7.256637168141593,157.16814159292036,0.0,52.895981087470446,36.82033096926714,66.73387096774194,77.62096774193549,24.414715719063544,42.642140468227424,0.0,0.0,35.449402891263354,50.09428032683847
Ashland,6796,7.7,30.0,2.6,3.05,12586,1.5,2.7,19.8,11.1,6.3,29.4,29.2,95.8,58.5,17641,7.0,3.4,4.9,20.4,3871,42.8,18.7,81.3,16703,7.7,95.5,93.3,10553,3.4,0.0,2.4,3.9,6796,2.3,0.6,0.3,0.5,0.0,22.1,77.9,75.9,16.0,82.6,2130,17.400000000000006,42.2612067,-71.46339559999998,Middlesex,19700,1537,31,11.239771801513692,44700,2035.0,41.0,0.020147420147420148,7.802030456852791,0.0009172259507829977,0.15736040609137056,10.32994923857868,226.9035532994924,41.0,61.68646563102853,39.851761600162455,82.85511866808359,95.64293304994686,32.65777777777778,56.00592592592592,28.381962864721483,53.86655784533768,39.51291911219052,57.30284018080011
Athol,4639,10.2,31.6,2.5,3.05,8389,2.7,7.0,37.7,21.7,11.4,13.1,6.4,90.3,19.4,11561,17.7,3.7,16.8,38.3,546,77.5,41.8,58.2,11001,2.0,88.3,80.6,5801,2.7,0.3,3.7,14.0,4639,8.9,0.4,0.5,1.1,0.2,19.9,80.1,76.7,17.1,92.4,2480,7.599999999999994,42.5959329,-72.2267383,Worcester,11981,784,20,11.92330597128508,23596,967.0,25.0,0.025853154084798345,6.543694182455555,0.001059501610442448,0.16693097404223353,8.071112594941992,196.94516317502712,25.0,43.872334209757526,29.309085597429156,69.8641765704584,86.54499151103565,20.880381086803105,35.00352858151024,14.285714285714285,36.75115207373272,27.88016626146969,40.82817033958121
Attleboro,17632,8.1,30.7,2.51,3.09,32405,3.8,5.4,29.1,19.5,10.7,21.5,10.1,90.8,31.6,44354,14.2,5.6,11.4,36.6,4606,26.9,10.7,89.3,41981,5.6,90.9,85.7,24728,3.8,0.2,2.5,8.6,17632,6.8,0.2,1.3,2.2,0.1,21.4,78.6,76.2,16.9,88.1,2690,11.900000000000006,41.9445441,-71.2856082,Bristol,46517,4210,90,13.819703057399034,81756,3428.0,111.0,0.0323803967327888,9.050454672485328,0.001357698517539997,0.19347765333104025,7.369348840208955,175.755100285917,111.0,47.08373642910889,30.213909491561864,69.24043563250488,80.9829656520525,23.11132569308566,40.91428861840266,15.498755504499329,30.174229370093812,30.654401233887846,46.637104770298556
Auburn,6672,7.4,35.5,2.48,3.11,12149,1.5,3.8,28.0,16.5,9.8,25.7,14.7,94.7,40.4,16578,11.1,3.0,8.3,28.9,1073,24.0,13.7,86.3,16063,2.8,88.6,82.9,8998,2.8,0.3,1.2,3.2,6672,6.3,0.3,2.0,1.2,0.3,20.1,79.9,77.0,19.0,94.9,2760,5.099999999999994,42.1945385,-71.8356271,Worcester,16484,1563,19,8.233028796894843,39382,1896.0,21.0,0.011075949367088608,9.481921863625335,0.0005332385353714896,0.11526328561028876,11.502062606163554,238.91045862654695,21.0,57.796383933988594,41.82744812522753,73.84039181791991,84.01037165082109,33.287218507416796,50.8031665513796,83.454398708636,100.0,35.96769923219487,49.867619804077314
Avon,1574,9.1,33.4,2.86,3.27,3389,2.8,5.2,41.4,16.3,7.4,20.6,6.3,92.0,26.9,4500,12.7,0.6,9.3,44.4,587,34.1,13.5,86.5,4249,6.6,89.9,82.1,2624,3.6,0.0,3.7,9.8,1574,5.8,0.6,0.6,2.2,0.6,18.8,81.2,77.9,14.3,73.6,2935,26.400000000000006,42.1306554,-71.04115820000001,Norfolk,4376,511,12,19.58650417035927,8851,369.0,15.0,0.04065040650406504,11.677330895795247,0.0016947237600271157,0.2742230347349177,8.432358318098721,202.26234003656307,15.0,54.67642350788932,38.66910587697233,70.35236938031592,81.77399756986634,31.323943661971832,48.394366197183096,60.47745358090185,84.61538461538461,32.44695898161245,44.66760961810467
Ayer,3552,11.5,27.7,2.27,2.92,6057,1.5,3.8,22.6,14.6,8.7,25.6,23.1,94.6,48.7,7940,8.6,3.8,5.8,26.3,830,39.0,11.4,88.6,7513,3.4,90.3,84.9,4804,1.7,0.0,1.8,7.7,3552,5.7,0.0,0.8,2.8,0.0,18.9,81.1,79.8,14.9,88.0,3005,12.0,42.5611947,-71.5899054,Middlesex,8098,847,10,8.820278107899489,21470,1064.0,12.0,0.011278195488721804,10.459372684613486,0.0005589194224499301,0.12348728081007657,13.139046678192145,265.1271918992344,12.0,58.399209486166,39.35276679841897,95.67262464722484,100.0,30.84032418598038,50.63273140907152,34.477379095163805,57.176287051482056,36.99404761904762,53.24404761904762
Barnstable,18796,6.8,38.7,2.34,2.89,33500,2.0,4.3,26.6,18.6,9.9,22.2,16.4,93.7,38.6,44266,12.1,2.2,8.6,28.4,6847,55.2,20.9,79.1,42625,7.4,95.0,89.1,24525,7.4,0.3,5.5,7.9,18796,4.7,0.1,0.8,1.2,0.7,17.4,82.6,79.2,23.3,89.7,3690,10.299999999999997,41.7003208,-70.3002024,Barnstable,44772,4114,78,12.443857338611485,79363,3104.0,94.0,0.030283505154639175,9.188778700973822,0.0011844310320930408,0.17421602787456447,6.9329044938801045,177.26034128473154,94.0,65.31382622291714,47.388876479785566,79.88840984022319,89.83007862033985,35.7184056343159,56.51012416137944,22.703133297928836,38.03770578863516,46.80647476277809,60.346064907104704
Barre,2039,8.6,33.0,2.61,3.16,3809,0.8,3.6,38.1,17.2,8.1,15.7,16.6,95.6,32.3,5399,10.4,1.8,8.9,27.1,248,23.0,1.6,98.4,5399,0.5,87.8,79.3,3174,14.7,0.0,0.3,9.2,2039,4.3,0.0,0.0,1.6,0.7,19.8,80.2,76.3,14.8,94.7,3740,5.299999999999997,42.4229047,-72.1051002,Worcester,5560,314,4,3.853970316499521,8801,382.0,4.0,0.010471204188481676,5.64748201438849,0.0004544938075218725,0.07194244604316546,6.870503597122301,158.29136690647482,4.0,48.173474896526905,33.975166456721254,70.8029197080292,82.89885297184567,26.294040887342323,40.9308394954328,17.09090909090909,22.181818181818183,32.629777524244155,46.339608290549535
Becket,825,6.4,36.5,2.35,2.77,1545,0.9,3.7,32.6,19.6,12.2,15.1,15.9,95.4,31.0,1941,12.4,5.7,11.5,20.4,72,38.9,19.4,80.6,1859,1.2,92.4,80.7,1139,8.9,0.0,2.8,7.0,825,1.7,0.4,0.0,1.8,0.5,17.2,82.8,81.6,21.5,94.2,4545,5.799999999999997,42.3319904,-73.0829366,Berkshire,1795,69,4,11.935284538191272,3026,126.0,3.0,0.023809523809523808,3.8440111420612815,0.0009914077990746861,0.22284122562674097,7.01949860724234,168.57938718662953,3.0,53.907994640464494,34.301027244305494,63.95563770794824,78.55822550831792,24.852767962308597,46.054181389870436,0.0,0.0,32.83927744326077,50.949513663733214
Bedford,5312,4.8,31.4,2.58,3.2,9627,1.0,2.3,8.8,10.6,5.6,32.8,39.0,96.8,71.8,13778,9.3,5.9,3.7,34.0,2661,38.9,30.7,69.3,13479,5.1,95.8,91.7,7345,7.4,0.3,0.7,2.9,5312,5.5,0.3,0.3,0.0,0.0,25.0,75.0,71.7,17.3,77.4,4615,22.599999999999994,42.4906231,-71.27600890000002,Middlesex,14994,877,24,11.432610883029826,44301,2451.0,31.0,0.012647898816809465,5.849006269174336,0.0006997584704634207,0.1600640256102441,16.34653861544618,295.4581832733093,31.0,58.721899806550596,40.88453071843106,74.5206369840754,80.72798180045498,32.19741480611046,53.038442168876955,36.336888561971314,65.61235748436926,40.06570841889117,53.87268993839835
Belchertown,5563,6.8,29.3,2.7,3.13,10131,1.2,3.6,23.1,14.5,9.1,25.3,23.3,95.2,48.6,15005,9.1,9.5,4.6,27.6,909,30.6,22.9,77.1,14126,3.5,95.8,93.2,9039,3.9,0.0,0.5,6.1,5563,5.1,0.6,0.9,1.2,0.8,22.7,77.3,74.6,14.8,93.3,4825,6.700000000000003,42.2770346,-72.40088840000001,Hampshire,16054,877,29,12.902593469938555,38036,2008.0,33.0,0.01643426294820717,5.462813006104398,0.000867599116626354,0.18064033885635977,12.507786221502428,236.92537685312072,33.0,53.7469631844515,37.65028343611786,76.20244077530509,88.54989231873654,29.554533805683274,46.438531695183535,25.0,40.851735015772874,35.93375761308424,50.64668445904332
Bellingham,6526,9.0,27.9,2.62,3.13,12039,1.7,3.4,27.7,19.3,12.2,21.3,14.5,94.9,35.8,17100,9.0,5.8,6.7,24.7,1192,28.9,9.1,90.9,16306,2.6,94.7,90.9,10662,3.7,0.0,1.4,3.2,6526,3.6,0.0,0.0,0.8,0.0,22.0,78.0,75.7,14.0,94.2,4930,5.799999999999997,42.08676079999999,-71.47458809999998,Norfolk,18017,1176,24,9.51475746790103,25993,1237.0,35.0,0.028294260307194827,6.527168785036356,0.0013465163697918671,0.13320752622523174,6.865737914192152,144.26930121551868,35.0,48.82313755967581,32.974353280781614,75.02803738317758,88.5233644859813,25.640524154116957,41.899732707477675,31.245965138799225,53.97030342156229,31.858136979611768,46.349652057135884
Belmont,9819,3.5,31.3,2.63,3.16,18054,1.4,1.6,9.0,8.1,4.4,24.5,50.9,97.0,75.4,25890,7.2,2.0,4.4,25.3,6513,48.8,28.5,71.5,24486,8.1,95.1,93.4,13810,7.9,0.1,1.6,6.0,9819,8.0,0.2,0.2,1.3,0.4,25.3,74.7,72.1,16.5,76.9,5070,23.099999999999994,42.395640500000006,-71.1776114,Middlesex,27408,1130,24,6.254555992671342,75010,4091.0,25.0,0.006110975311659741,4.1228838295388215,0.0003332888948140248,0.08756567425569177,14.926298890834794,273.6792177466433,25.0,63.071084513209755,42.15078090789666,81.70549262662962,88.03163069031844,34.006600660066006,57.931793179317935,28.689288090485693,52.228875582168996,43.625707558984125,61.27836497520413
Berkley,2384,9.7,25.9,2.81,3.16,4723,1.4,3.5,29.7,18.5,11.1,24.1,11.6,95.1,35.7,6708,8.1,4.1,7.7,16.5,343,57.7,0.0,100.0,6467,1.2,94.5,88.5,3811,3.5,0.1,0.6,2.5,2384,0.5,0.0,0.0,1.0,0.9,23.5,76.5,73.9,14.0,96.9,5280,3.0999999999999943,41.8459347,-71.08282220000002,Bristol,6815,716,21,22.01005032526407,12160,545.0,24.0,0.044036697247706424,10.506236243580338,0.001973684210526316,0.30814380044020545,7.997065297138664,178.42993396918564,24.0,46.285965942454496,33.71990604815032,70.40498442367601,79.0238836967809,27.679945289793128,40.89587963754488,0.0,51.75438596491229,31.346241805153223,42.61320323220003
Berlin,1179,5.1,45.0,2.69,3.04,2392,0.4,3.2,26.5,12.8,6.6,31.6,18.9,96.4,50.5,3182,12.2,1.6,9.2,26.1,182,33.0,24.7,75.3,3095,1.7,90.2,85.0,1789,5.6,0.0,2.1,4.2,1179,2.5,0.4,0.0,0.0,0.0,17.5,82.5,80.2,25.5,97.2,5490,2.799999999999997,42.3812039,-71.63701209999998,Worcester,3227,197,6,13.279934124798062,6562,305.0,6.0,0.019672131147540985,6.104741245739077,0.0009143553794574825,0.18593120545398203,9.451502943910754,203.34676169817166,6.0,59.58436724565757,40.88089330024814,62.94046172539489,73.0255164034022,33.319450229071215,54.977092877967515,0.0,88.02816901408451,39.661348095083035,55.77987626180397
Bernardston,891,8.9,38.2,2.32,2.88,1545,0.6,3.0,43.6,18.1,8.9,14.2,11.7,96.4,25.8,2064,20.2,10.3,18.0,35.4,28,0.0,0.0,100.0,1977,0.8,84.7,83.1,1026,7.8,0.4,2.1,8.1,891,6.4,0.0,0.0,0.0,0.6,21.7,78.3,76.3,22.0,99.0,5560,1.0,42.6710048,-72.5483277,Franklin,2072,50,0,0.0,4540,181.0,1.0,0.0055248618784530384,2.413127413127413,0.00022026431718061675,0.0,8.735521235521237,219.11196911196913,1.0,73.6587723537941,50.50749154180764,98.046875,100.0,34.8747591522158,60.886319845857415,0.0,0.0,47.4,67.55
Beverly,16443,5.8,30.1,2.34,3.04,28683,2.1,2.8,22.6,12.8,9.2,30.0,20.6,95.2,50.6,41390,11.4,2.3,8.8,32.2,3358,45.9,30.5,69.5,39731,3.6,91.0,87.8,23824,5.7,0.2,1.8,9.3,16443,10.7,0.1,2.3,1.3,0.5,18.1,81.9,75.5,16.8,92.1,5595,7.900000000000006,42.5584283,-70.880049,Essex,41070,3622,111,19.304588594271706,169654,9652.0,123.0,0.012743472855366764,8.819089359629901,0.0007250050101972249,0.2702702702702703,23.501339177014852,413.08497686876063,123.0,58.20590240576604,44.492061946040714,84.0942760942761,91.51515151515152,35.751865172547035,50.854561127128974,24.989191526156507,36.85689580631215,44.18496540785912,56.755722059668024
Billerica,14935,5.6,30.1,2.8,3.19,31183,1.9,4.9,31.4,17.6,8.1,23.7,12.4,93.1,36.1,41931,10.1,3.7,6.2,35.1,5424,45.4,24.8,75.2,41005,5.2,95.7,93.5,25448,2.6,0.0,1.8,3.6,14935,4.3,0.4,0.7,0.9,0.5,19.2,80.8,77.5,15.2,83.5,5805,16.5,42.5584218,-71.2689461,Middlesex,43672,3842,103,16.8461305676994,85026,3496.0,114.0,0.03260869565217391,8.79739879098736,0.0013407663538211841,0.2358490566037736,8.005129144531965,194.69225132808205,114.0,52.80983786754603,38.51561784372996,73.37286664738212,82.4703500144634,31.958426293736736,47.23023344397889,29.173079613823983,46.67692738211837,37.52059864386633,49.885187886646676
Blackstone,3526,6.9,29.4,2.61,3.11,6511,1.0,3.5,31.8,18.2,10.1,23.9,11.5,95.5,35.4,9240,10.5,2.3,7.3,37.2,347,39.5,17.6,82.4,8858,1.5,94.6,90.7,5755,4.8,0.3,2.0,3.8,3526,4.8,0.0,0.8,0.7,0.0,22.2,77.8,75.6,14.5,95.2,6015,4.799999999999997,42.0418415,-71.53678599999998,Worcester,9025,622,12,9.496410058166116,13964,653.0,20.0,0.030627871362940276,6.89196675900277,0.0014322543683758235,0.1329639889196676,7.2354570637119116,154.7257617728532,20.0,44.38040345821326,29.295056528485926,73.1420161883738,86.16629874908021,21.518987341772153,36.96985514811432,22.857142857142858,54.285714285714285,27.987790561164594,42.11082413712139
Blandford,481,5.2,38.3,2.3,2.72,889,4.0,6.1,33.2,12.4,10.2,22.6,11.5,89.9,34.1,1105,11.4,3.3,8.0,23.8,36,38.9,27.8,72.2,1059,0.9,87.9,69.6,650,12.4,0.5,6.3,4.3,481,0.6,0.0,0.0,0.6,0.0,10.9,89.1,84.3,24.7,98.8,6085,1.2000000000000028,42.1806463,-72.92732240000002,Hampden,1208,57,4,17.724576495417697,1683,83.0,3.0,0.03614457831325301,4.718543046357616,0.0017825311942959,0.33112582781456956,6.870860927152318,139.32119205298014,3.0,43.40248962655602,33.19502074688796,72.65917602996255,86.89138576779027,21.961620469083158,31.023454157782517,0.0,0.0,31.32530120481928,41.996557659208264
Bolton,1739,3.0,27.0,3.03,3.38,3506,0.2,0.9,11.6,10.3,8.1,32.8,36.1,98.9,68.9,5299,5.5,1.1,4.7,18.9,289,28.4,17.0,83.0,4921,0.9,96.8,97.1,2818,18.0,0.8,1.2,1.1,1739,1.5,0.0,0.0,0.0,0.0,28.5,71.5,68.7,13.0,93.2,6365,6.799999999999997,42.4334258,-71.6078449,Worcester,5055,218,5,7.064800987347984,11506,514.0,6.0,0.011673151750972763,4.312561819980218,0.0005214670606640013,0.09891196834817012,10.16815034619189,227.61622156280913,6.0,68.72525732383214,45.684877276326205,97.35799207397622,100.0,36.57741559953434,62.04889406286379,56.55172413793104,96.55172413793103,43.593551124310565,64.7645311837081
Boston,269522,7.4,22.1,2.36,3.13,473775,7.2,5.6,19.7,13.1,4.6,27.0,22.7,87.2,49.7,678697,11.9,5.3,8.9,41.0,193685,50.6,30.5,69.5,649894,17.4,91.0,85.4,408842,3.4,0.1,3.5,18.9,269522,34.2,0.4,0.7,1.7,1.3,15.9,84.1,77.2,11.5,52.8,7000,47.2,42.3600825,-71.0588801,Suffolk,692958,69563,1427,14.709193453384634,3752790,177437.0,1691.0,0.009530143093041473,10.038559335486422,0.0004505980883555968,0.20592878644881799,25.605736567006947,541.5609604045267,1691.0,54.178620287579584,37.23598612321706,73.32087936558993,82.71207828679592,32.47098223402083,50.41078211149683,29.23955720650644,43.13056269909303,40.98179201948088,57.435712123135815
